"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"BCL6" 0 -0.431369389954998 0.545 0.618 0 "0" "BCL6"
"CDK14" 0 -0.452417783955422 0.793 0.823 0 "0" "CDK14"
"RTN1" 0 -0.461375114300441 0.538 0.67 0 "0" "RTN1"
"TTN" 0 -0.463198805384621 0.625 0.738 0 "0" "TTN"
"NRG3" 0 -0.463214269397848 0.82 0.846 0 "0" "NRG3"
"GPNMB" 0 -0.494646065559989 0.833 0.829 0 "0" "GPNMB"
"LSAMP" 0 -0.562186363162345 0.796 0.834 0 "0" "LSAMP"
"ATG7" 0 -0.569011333284583 0.926 0.936 0 "0" "ATG7"
"MCTP1" 0 -0.576305547638643 0.567 0.682 0 "0" "MCTP1"
"DPP10" 0 -0.645094928439972 0.924 0.926 0 "0" "DPP10"
"CPM" 0 -0.697920856436826 0.569 0.653 0 "0" "CPM"
"FGF13" 0 -0.71028299176925 0.569 0.671 0 "0" "FGF13"
"SIGLEC1" 0 -0.767685867934028 0.845 0.857 0 "0" "SIGLEC1"
"STARD13" 0 -0.831796503125067 0.871 0.848 0 "0" "STARD13"
"EYA2" 0 -0.857085179257211 0.906 0.896 0 "0" "EYA2"
"DIRC3" 0 -0.882295338203673 0.637 0.737 0 "0" "DIRC3"
"COLEC12" 0 -0.898282956080056 0.792 0.844 0 "0" "COLEC12"
"DPYD" 0 -1.07473683457325 0.838 0.856 0 "0" "DPYD"
"IQGAP2" 0 -1.10232733990676 0.561 0.671 0 "0" "IQGAP2"
"MYO1E" 0 -1.10679309087564 0.892 0.924 0 "0" "MYO1E"
"PTPRG" 0 -1.16108646863273 0.903 0.907 0 "0" "PTPRG"
"TPRG1" 0 -1.26969286164176 0.833 0.856 0 "0" "TPRG1"
"F13A1" 0 -1.31350785565247 0.546 0.647 0 "0" "F13A1"
"SQSTM1" 1.76015853556344e-307 -0.335571117385732 0.738 0.767 3.52031707112689e-304 "0" "SQSTM1"
"GAS7" 3.09373198018248e-307 -0.71214410076498 0.85 0.843 6.18746396036496e-304 "0" "GAS7"
"HTRA1" 1.30041174226173e-306 0.264584249288963 0.751 0.736 2.60082348452346e-303 "0" "HTRA1"
"LIPC" 2.89879560027776e-294 0.358050460414542 0.598 0.569 5.79759120055553e-291 "0" "LIPC"
"TGFBI" 5.08051272789995e-287 -0.308813867956047 0.641 0.651 1.01610254557999e-283 "0" "TGFBI"
"ITGA9" 3.20460050648062e-286 0.302817914724093 0.62 0.583 6.40920101296124e-283 "0" "ITGA9"
"SLC7A5" 8.58803247815943e-284 -0.27612167861649 0.689 0.719 1.71760649563189e-280 "0" "SLC7A5"
"CPNE8" 1.53646316703429e-282 -0.288838668411881 0.595 0.632 3.07292633406859e-279 "0" "CPNE8"
"SMIM35" 7.57093350010101e-279 0.311217265401726 0.547 0.502 1.5141867000202e-275 "0" "SMIM35"
"MS4A4E" 4.55615388615241e-269 -0.257157748705514 0.583 0.634 9.11230777230482e-266 "0" "MS4A4E"
